adverb,type,sentence,correct,
squarely,adverb.degree,"Squarely in the captain's pocket, yet you still got the crew believing you're their advocate.",,
staggeringly,adverb.speaker_oriented,"Staggeringly, 50 percent of the Congo basin forest has been allocated for logging.",,
startlingly,adverb.degree,"Wow, you guys look startlingly similar.",yes,
statistically,adverb.domain,"Statistically, if you're going to be murdered, your killer will be someone you know...",yes,
staunchly,adverb.degree,Staunchly loyal to his men and his country.,,
strangely,adverb.speaker_oriented,"Strangely, my anger made me hungry. So I ate.",yes,
strikingly,adverb.degree,"he was 42, strikingly handsome, a wine lover and gourmet,",yes,
strongly,adverb.degree,I also strongly recommend alerting the public to the Cylon threat.,yes,
structurally,adverb.domain,"Structurally, bixel street runs contrary To the cinepal algorithms at almost every story point.",yes,
stubbornly,adverb.subject_oriented,"Raymond, known as 'the Baker"", 'stubbornly denies the murder despite the overwhelming evidence.",,
stunningly,adverb.degree,the battle was brief and stunningly one-sided.,yes,
stupidly,adverb.manner,"""The actor recited the lines stupidly, ignoring the script's emotional cues.""",,
stupidly,adverb.subject_oriented,"""Stupidly, the general decided to attack at dawn without reconnaissance.""",,
stupidly,adverb.degree,"""The test was stupidly difficult.""",yes,
stupidly,adverb.manner,He spoke stupidly during the interview.,yes,
stupidly,adverb.subject_oriented,"Stupidly, he forgot his passport again.",yes,
stupidly,adverb.degree,The experiment was stupidly simple but effective.,yes,
stylistically,adverb.domain,"When you're photographing the party, Stylistically, I'm thinking reportage.",yes,
subcutaneously,adverb.spatial,I remember. He taught Howard how to treat snake bites. How to inject the serum subcutaneously and all that.,,
subjectively,adverb.speaker_oriented,"Subjectively, I think there's a huge difference.",,
sublimely,adverb.degree,It's a sublimely happy marriage.,,
sublingually,adverb.spatial,Let's give her .4 nitro sublingually.,yes,
subsequently,adverb.temporal,"He was identified as an escaped mental patient. Subsequently, he confessed to the murder you're being held for.",,
substantially,adverb.degree,"""substantially similar in quality and genre.""",,
suddenly,adverb.temporal,"Suddenly, Haile Selassie is an intelligent, rational leader.",,
sufficiently,adverb.degree,Sufficiently asinine as to constitute a valid argument for eugenics.,,
superbly,adverb.degree,"The men are superbly trained, but what do we know about their morale under actual fire?",,
superficially,adverb.domain,"""Superficially, we were selfish and egocentric.",yes,
supposedly,adverb.speaker_oriented,"Supposedly, it was a super fun party.",yes,
supremely,adverb.degree,"Most Beauteous and Supremely Magnificent One, this dark spell I hold in my worthless and scabby hand is our gift to you, Most Tingly and Wonderful Glorificus.",,
surely,adverb.speaker_oriented,"Surely you have experienced physical love. Have you not, Mr. Haeckel?",,
surprisingly,adverb.manner,She answered surprisingly quickly.,yes,
surprisingly,adverb.degree,The results were surprisingly good.,yes,
surprisingly,adverb.subject_oriented,"Surprisingly, no one objected.",yes,
suspiciously,adverb.degree,I cleared chloe's name from that suspiciously high-ranking government arrest warrant.,,
sweetly,adverb.speaker_oriented,"Sweetly, oh, Cindy you'll fuck with Alex.",,
symbolically,adverb.domain,"Symbolically, he was shoved into a small Volkswagen and driven from his palace.",yes,
tactically,adverb.domain,"Tactically, it's being seen as a very shrewd move.",yes,
tangentially,adverb.degree,"Does this in any way, even tangentially, involve sexbots?",yes,
tantalizingly,adverb.degree,She's gonna miss the most tantalizingly delicious Khorem baklava.,yes,
technically,adverb.domain,"Technically, this isn't a murder investigation without a body.",yes,
tediously,adverb.degree,And then his consummate laziness and lack of imagination became tediously self-evident.,yes,
temperately,adverb.manner,"The philosopher lived temperately, keeping all desires in check.",yes,
temporarily,adverb.temporal,"I lose my first look and my funding, Temporarily, mind you... in a misunderstanding, and you do this to me?",yes,
tentatively,adverb.speaker_oriented,"Tentatively,I'd say she died from hypoxia,",yes,
terminally,adverb.degree,Terminally ill patients never listen. Why should they?,yes,
terribly,adverb.degree,they're still suffering terribly from shock.,yes,
terribly,adverb.speaker_oriented,"Terribly. But, I don't think he was a murderer .. because .. Well, I just don't.",,
terribly,adverb.manner,"""He performed terribly during the audition.""",yes,
terribly,adverb.degree,"""It was terribly cold outside.""",,
terribly,adverb.manner,He played terribly in the final match.,,
terribly,adverb.degree,The room was terribly cold.,yes,
terribly,adverb.subject_oriented,"Terribly, she realized her friend was right.",,
terrifically,adverb.degree,Terrifically gift baskets. This is Carol.,,
theatrically,adverb.spatial,"In this particular case, it means that people won't be able to see the film... Theatrically, in many provinces of the country.",,
thematically,adverb.domain,"Thematically, this location is very important, boss.",yes,
theoretically,adverb.speaker_oriented,"Theoretically, the trail goes up to the river. We have the forest which starts here.",yes,
therapeutically,adverb.domain,"""Marijuana, in its natural form, is one of the safest ""therapeutically active substances known to man.",yes,
therefore,adverb.contrast,"She studied hard; therefore, she passed the exam.",yes,
thinly,adverb.degree,"With our forces stretched so thinly, I'm gonna enlist the help of the freedom fighters led by Cham Syndulla.",,
tightly,adverb.degree,They lock together in tightly-packed huddles as they struggle to keep warm.,,
timely,adverb.temporal,Geert Schoonhoven delighted his fellow Pilgrims with his timely songs.,yes,
too,adverb.focus,"I’d like a cup of coffee, too.",yes,
topically,adverb.spatial,Topically as a local anesthetic.,,
totally,adverb.degree,"- Oh yeah, he was cool. Totally cool.",,
traditionally,adverb.domain,"Traditionally, there's three rounds - daywear, evening wear and swim-wear.",,
tragically,adverb.degree,"The helpless, tragically dependent, special needs victim.",yes,
tremendously,adverb.degree,"-...for the part. Tremendously talented. -Yeah, right.",yes,
truly,adverb.manner,And they gave your truly temporary access.,yes,
truly,adverb.speaker_oriented,"Truly, Moses, you are a prophet of God!",yes,
typically,adverb.frequency,"Typically, the way to cure the victim is to kill the original.",,?
ultimately,adverb.temporal,"Ultimately, this process includes assigning accountability for the murder and the mutilation of an innocent 25-year-old young lady.",,
unabashedly,adverb.subject_oriented,"Lobbying had been considered kind of a sleazy business, but Roger Stone unabashedly came out and said,",,
undoubtedly,adverb.speaker_oriented,"Undoubtedly, they were cheating you.",yes,
unendingly,adverb.temporal,"Unendingly have you beseeched me, show myself.",yes,
unexpectedly,adverb.speaker_oriented,"Unexpectedly, Bent Sejrø has resigned as minister of finance.",,
unfailingly,adverb.frequency,And everything looks in order from the outside ...unfailingly,,
uniformly,adverb.degree,"That was their mandate,and suffice to say,we are, as of this moment,uh,uniformly thrilled with our pick.",,
unintelligently,adverb.manner,The decision was made unintelligently without reviewing any evidence.,yes,
unlikely,adverb.speaker_oriented,"I mean, just because something is unlikely to be successful-- like, say a relationship-- doesn't mean you don't try, right?",,
unrighteously,adverb.manner,"The ruler governed unrighteously, favoring the corrupt and powerful.",yes,
unselfishly,adverb.manner,The teacher worked unselfishly for the benefit of her students.,yes,
upwardly,adverb.spatial,"Upwardly mobile lieutenant, always hungry for the next promotion.",,
usually,adverb.frequency,"Usually, I don't like doing interviews but I find you very interesting.",yes,
utterly,adverb.degree,It was purebred. Utterly controlled.,,
vaguely,adverb.degree,"First,boris alters hisvaguely medical research plans when he gets his blood results.",,
valiantly,adverb.subject_oriented,"Valiantly, French and British soldiers tried to slow the German advance.",,
variously,adverb.spatial,"Is this the same William Brocius who is wanted variously on eight counts of murder in Kansas City, Missouri, Abilene, Texas, Gallup, New Mexico between the years 1878 and 1881?",,
vastly,adverb.degree,"- What do you mean ""vastly wealthy""?",yes,
venally,adverb.manner,"The official accepted the bribe venally, betraying public trust.",yes,
verily,adverb.speaker_oriented,"Verily, is it a spring night?",,
vertically,adverb.domain,"Au contraire, my vertically challenged friend.",yes,
viciously,adverb.degree,We're talking about viciously competitive people.,yes,
violently,adverb.degree,The calm orderliness of the scene contrasts violently with the ghastly pictures which shocked the country when they were shown in British newsreels.,yes,
virtually,adverb.manner,Can it be sent virtually?,yes,
virtually,adverb.domain,"Virtually, this is valid, but not here.",yes,
visibly,adverb.degree,"Visibly moved, raises the visor and wipes her tears.",yes,
visually,adverb.domain,"Visually, it's appealing, but it should not be here.",yes,
vitally,adverb.degree,"So where's the ""vitally interested""?",,
vocally,adverb.domain,"Vocally, you're not going to be able to compete with so many of these kids who, to be quite honest and blunt, are better singers than you.",yes,
weekly,adverb.frequency,"I mean, going there weekly will not change anything...",yes,
weirdly,adverb.speaker_oriented,"Weirdly deep-voiced, alcoholic, gay Lee Cooper who you invited out for a glass of wine!",,
westerly,adverb.spatial,The ship sailed in a westerly direction to reach the island.,yes,
wholly,adverb.degree,"I subscribe to your views wholly, mr. bedeker.",,
wickedly,adverb.degree,"Wickedly overcrowded tonight, but, of course, as it's you...",,
wildly,adverb.degree,"George Washington Carver could be considered ""wildly racist.""",yes,
wildly,adverb.manner,"""The team celebrated wildly after the goal.""",yes,
wildly,adverb.degree,"""The projections were wildly optimistic.""",yes,
willy-nilly,adverb.speaker_oriented,"Willy-nilly, we're all brothers here! Brothers in suffering!",,
wisely,adverb.manner,"""She wisely diversified her investments.""",yes,
wisely,adverb.subject_oriented,"""Wisely, he chose to save his money rather than spend it.""",yes,
worryingly,adverb.speaker_oriented,"Worryingly, here in Siberia, there are signs the permafrost is already starting to melt.",yes,
wretchedly,adverb.degree,The sky... was chartreuse. 'Wretchedly beautiful and poisonous.',,
